start,end,house,samplesize,Conservatives,Labour,Liberal Democrats,NationalPartiesinUK,Greens,UKIP,Other,NationalPartiesinScotland,samplesizeScotland,NationalPartiesinWalesMidlands,samplesizeWalesMidlands
16/10/2014,17/10/2014,YouGov,1966,32,35,7,4,5,16,1,41,171,1,421
19/10/2014,20/10/2014,YouGov,1727,31,33,7,5,4,15,1,49,150,2,370
20/10/2014,21/10/2014,YouGov,2103,32,33,8,4,5,16,1,40,183,1,450
21/10/2014,22/10/2014,YouGov,2052,31,33,7,5,6,17,1,42,179,4,439
22/10/2014,23/10/2014,YouGov,2020,34,34,6,4,6,15,1,42,176,1,432
23/10/2014,24/10/2014,YouGov,2069,33,33,7,5,6,16,1,43,180,4,443
26/10/2014,27/10/2014,YouGov,1629,32,32,8,4,6,18,0,41,142,2,349
27/10/2014,28/10/2014,YouGov,2052,32,33,8,4,5,17,1,38,179,2,439
28/10/2014,29/10/2014,YouGov,1972,31,34,6,4,7,17,1,36,172,2,422
29/10/2014,30/10/2014,YouGov,1883,33,32,7,5,7,15,1,48,164,3,403
30/10/2014,31/10/2014,YouGov,1808,31,32,7,5,6,18,1,42,157,2,387
02/11/2014,03/11/2014,YouGov,1652,33,34,8,4,5,15,0,38,144,3,354
03/11/2014,04/11/2014,YouGov,1988,32,34,7,5,6,15,0,45,173,2,425
04/11/2014,05/11/2014,YouGov,2047,32,33,7,4,7,17,2,39,178,1,438
05/11/2014,06/11/2014,YouGov,2041,32,33,8,4,7,15,0,41,178,1,437
06/11/2014,07/11/2014,YouGov,2022,33,33,7,5,6,16,0,44,176,3,433
09/11/2014,10/11/2014,YouGov,1656,32,33,6,5,6,17,1,40,144,3,354
10/11/2014,11/11/2014,YouGov,2143,33,34,7,5,6,15,1,45,186,1,459
11/11/2014,12/11/2014,YouGov,1972,32,35,7,4,6,15,0,35,172,2,422
12/11/2014,13/11/2014,YouGov,2003,33,32,8,5,6,15,1,49,174,2,429
13/11/2014,14/11/2014,YouGov,1975,31,33,7,5,5,18,1,46,172,2,423
16/11/2014,17/11/2014,YouGov,1589,33,32,7,4,8,15,2,41,138,2,340
17/11/2014,18/11/2014,YouGov,1975,32,34,7,4,6,15,0,41,172,2,423
18/11/2014,19/11/2014,YouGov,1906,34,33,7,5,6,14,0,49,166,1,408
19/11/2014,20/11/2014,YouGov,1995,34,33,7,4,6,15,1,40,174,3,427
20/11/2014,21/11/2014,YouGov,1970,33,33,7,5,6,16,1,46,171,1,422
19/11/2014,21/11/2014,YouGov,2314,33,34,8,4,5,15,0,41,201,2,495
23/11/2014,24/11/2014,YouGov,1641,30,34,6,5,6,18,1,40,143,2,351
24/11/2014,25/11/2014,YouGov,1890,32,33,7,5,6,16,1,40,164,4,404
25/11/2014,26/11/2014,YouGov,2067,33,32,6,4,7,16,1,39,180,2,422
26/11/2014,27/11/2014,YouGov,1970,31,31,8,5,6,17,1,44,171,3,422
27/11/2014,28/11/2014,YouGov,2018,32,34,7,5,6,15,0,44,176,3,432
30/11/2014,01/12/2014,YouGov,1763,32,32,8,5,6,15,1,47,153,2,377
01/12/2014,02/12/2014,YouGov,1912,32,33,7,5,7,16,0,41,166,3,409
02/12/2014,03/12/2014,YouGov,1925,32,31,6,5,7,17,1,49,167,2,412
03/12/2014,04/12/2014,YouGov,1663,31,32,7,6,8,15,2,50,145,1,356
04/12/2014,05/12/2014,YouGov,1838,32,32,6,4,7,17,1,38,160,2,393
07/12/2014,08/12/2014,YouGov,1589,34,33,6,5,6,15,1,47,138,3,340
08/12/2014,09/12/2014,YouGov,1959,32,32,8,4,7,15,1,42,170,0,419
09/12/2014,10/12/2014,YouGov,1983,33,33,6,4,7,15,1,40,173,2,424
10/12/2014,11/12/2014,YouGov,2088,32,34,7,5,7,14,1,41,182,2,447
11/12/2014,12/12/2014,YouGov,1941,32,32,7,4,7,16,1,40,169,2,415
14/12/2014,15/12/2014,YouGov,1648,32,34,6,5,8,14,1,43,143,1,353
15/12/2014,16/12/2014,YouGov,2021,33,34,6,5,6,16,0,44,176,1,432
16/12/2014,17/12/2014,YouGov,2087,33,33,8,4,7,14,0,43,182,2,447
17/12/2014,18/12/2014,YouGov,1981,30,35,6,4,8,16,0,42,172,1,424
18/12/2014,19/12/2014,YouGov,2109,32,34,6,5,8,15,0,44,183,2,451
21/12/2014,22/12/2014,YouGov,1642,32,36,6,4,5,16,1,43,143,2,351
04/01/2015,05/01/2015,YouGov 2,1728,31,34,7,4,8,14,2,46,150,1,370
05/01/2015,06/01/2015,YouGov 2,1769,33,33,7,4,8,13,1,38,154,4,379
06/01/2015,07/01/2015,YouGov 2,1707,32,33,7,4,7,15,1,34,149,2,365
07/01/2015,08/01/2015,YouGov 2,1753,33,33,8,5,7,13,1,46,153,1,375
08/01/2015,09/01/2015,YouGov 2,1684,32,32,7,4,6,18,1,39,147,2,360
11/01/2015,12/01/2015,YouGov 2,1649,32,33,6,4,6,17,2,43,143,2,353
12/01/2015,13/01/2015,YouGov 2,1782,32,33,7,5,7,14,1,46,155,2,381
13/01/2015,14/01/2015,YouGov 2,1834,32,34,6,4,7,15,1,44,160,1,392
14/01/2015,15/01/2015,YouGov 2,1660,32,32,6,5,8,16,1,49,144,2,355
14/01/2015,15/01/2015,YouGov 2,1763,31,33,7,5,7,16,1,41,153,4,377
15/01/2015,16/01/2015,YouGov 2,1647,31,32,7,3,7,18,2,33,143,1,352
18/01/2015,19/01/2015,YouGov 2,1747,32,32,8,5,7,15,1,40,152,3,374
19/01/2015,20/01/2015,YouGov 2,1570,32,30,8,4,10,15,1,40,137,2,336
20/01/2015,21/01/2015,YouGov 2,1645,33,34,6,5,8,14,1,41,143,4,352
21/01/2015,22/01/2015,YouGov 2,1640,31,33,7,4,8,17,0,41,143,1,351
22/01/2015,23/01/2015,YouGov 2,1578,32,32,7,5,7,15,1,43,137,2,338
25/01/2015,26/01/2015,YouGov 2,1656,34,33,6,4,7,15,1,44,144,1,354
26/01/2015,27/01/2015,YouGov 2,1655,34,33,7,5,7,14,1,44,144,1,354
27/01/2015,28/01/2015,YouGov 2,1548,33,33,6,4,7,16,1,40,135,3,331
